player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
Jonathon Simmons,SG,28,ORL,69,2029,12.7,0.555,0.268,.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22,0.8,1.1,1.9,0.045,-1.7,-1.3,-3.1,-0.5,2018,29.405797101449274,31,SG-SF,2016,2
Jonathon Simmons,SG-SF,29,TOT,56,1064,8.5,0.466,0.297,.277,2.7,10,6.3,16.7,1.3,1.2,14.8,18.7,-0.8,1.1,0.3,0.013,-3.9,-0.3,-4.2,-0.6,2019,19,31,SG-SF,2016,3
Jontay Porter,PF,21,MEM,11,54,9.2,0.64,0.533,.333,7.8,19.9,13.7,2.5,2.7,1.7,28.9,18.9,-0.1,0.1,0,0.019,-6.8,0.3,-6.5,-0.1,2021,4.909090909090909,21,PF,2021,0
Jordan Adams,SG,20,MEM,30,248,12.8,0.489,0.291,.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0,0.4,0.4,0.073,-1.2,2.6,1.4,0.2,2015,8.266666666666667,26,SG,2015,0
Jordan Adams,SG,21,MEM,2,15,17.3,0.427,0.167,.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,0,0,0,0.015,-2.5,9.4,6.9,0,2016,7.5,26,SG,2015,1
Jordan Bell,C,23,GSW,57,809,18,0.641,0.022,.238,8.9,19,14.3,16.9,2.1,5.5,20,13.9,1.6,1.4,2.9,0.174,0,2.8,2.8,1,2018,14.192982456140351,26,C,2018,0
Jordan Bell,C,24,GSW,68,788,12.9,0.531,0.01,.214,7.8,16.7,12.5,12.3,1.2,5.4,16.7,13.7,0.5,1.1,1.6,0.096,-2.2,1.3,-0.9,0.2,2019,11.588235294117647,26,C,2018,1
Jordan Bell,C,25,TOT,29,256,13.9,0.577,0.179,.463,12,21.8,16.7,8.9,0.5,3.2,20.7,16.4,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0,2020,8.827586206896552,26,C,2018,2
Jordan Bell,C,26,TOT,6,82,8,0.328,0.091,.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,-0.1,0.1,0,-0.008,-5.2,-0.4,-5.6,-0.1,2021,13.666666666666666,26,C,2018,3
Jordan Bone,PG,22,DET,10,53,0.8,0.3,0.5,.000,0,8.7,4.3,21,0.9,0,9.1,18.1,-0.1,0,-0.1,-0.117,-9.1,-2.8,-11.9,-0.1,2020,5.3,23,PG,2020,0
Jordan Bone,PG,23,ORL,14,196,8.9,0.519,0.593,.000,2,11,6.4,13.6,0.5,0,5.3,12.6,0.1,0.1,0.2,0.045,-2.6,-1.6,-4.2,-0.1,2021,14,23,PG,2020,1
