hoop_math_link,hoop_math_name,hoop_math_match_name,sref_name,sref_link
Nevada2021.php,Nevada,Nevada,Nevada,nevada
NewHampshire2021.php,NewHampshire,NewHampshire,New Hampshire,new-hampshire
NewMexico2021.php,NewMexico,NewMexico,New Mexico,new-mexico
NewMexicoSt.2021.php,NewMexicoSt.,NewMexicoSt.,New Mexico State,new-mexico-state
NewOrleans2021.php,NewOrleans,NewOrleans,New Orleans,new-orleans
Niagara2021.php,Niagara,Niagara,Niagara,niagara
NichollsSt.2021.php,NichollsSt.,NichollsSt.,Nicholls State,nicholls-state
NorfolkSt.2021.php,NorfolkSt.,NorfolkSt.,Norfolk State,norfolk-state
NorthAla.2021.php,NorthAla.,NorthAla.,North Alabama,north-alabama
NorthCarolina2021.php,NorthCarolina,NorthCarolina,North Carolina,north-carolina
NorthDakota2021.php,NorthDakota,NorthDakota,North Dakota,north-dakota
NorthDakotaSt.2021.php,NorthDakotaSt.,NorthDakotaSt.,North Dakota State,north-dakota-state
NorthFlorida2021.php,NorthFlorida,NorthFlorida,North Florida,north-florida
NorthTexas2021.php,NorthTexas,NorthTexas,North Texas,north-texas
Northeastern2021.php,Northeastern,Northeastern,Northeastern,northeastern
NorthernAriz.2021.php,NorthernAriz.,NorthernAriz.,Northern Arizona,northern-arizona
NorthernColo.2021.php,NorthernColo.,NorthernColo.,Northern Colorado,northern-colorado
NorthernIll.2021.php,NorthernIll.,NorthernIll.,Northern Illinois,northern-illinois
NorthernKy.2021.php,NorthernKy.,NorthernKy.,Northern Kentucky,northern-kentucky
Northwestern2021.php,Northwestern,Northwestern,Northwestern,northwestern
NorthwesternSt.2021.php,NorthwesternSt.,NorthwesternSt.,Northwestern State,northwestern-state
NotreDame2021.php,NotreDame,NotreDame,Notre Dame,notre-dame
Oakland2021.php,Oakland,Oakland,Oakland,oakland
Ohio2021.php,Ohio,Ohio,Ohio,ohio
OhioSt.2021.php,OhioSt.,OhioSt.,Ohio State,ohio-state
Oklahoma2021.php,Oklahoma,Oklahoma,Oklahoma,oklahoma
OklahomaSt.2021.php,OklahomaSt.,OklahomaSt.,Oklahoma State,oklahoma-state
OldDominion2021.php,OldDominion,OldDominion,Old Dominion,old-dominion
OleMiss2021.php,OleMiss,Mississippi,Mississippi,mississippi
Omaha2021.php,Omaha,Omaha,Omaha,nebraska-omaha
OralRoberts2021.php,OralRoberts,OralRoberts,Oral Roberts,oral-roberts
Oregon2021.php,Oregon,Oregon,Oregon,oregon
OregonSt.2021.php,OregonSt.,OregonSt.,Oregon State,oregon-state
Pacific2021.php,Pacific,Pacific,Pacific,pacific
Penn2021.php,Penn,Penn,Pennsylvania,pennsylvania
PennSt.2021.php,PennSt.,PennSt.,Penn State,penn-state
Pepperdine2021.php,Pepperdine,Pepperdine,Pepperdine,pepperdine
Pittsburgh2021.php,Pittsburgh,Pittsburgh,Pittsburgh,pittsburgh
